产品编号,产品名称,系列,应用方向,多元醇体系,异氰酸酯类型,典型固含量%,典型粘度mPa·s(25℃),典型100%模量MPa,硬度,环保类别,量产状态,上市年份
HD-W101,湿法服装革用高柔软树脂,湿法,服装革,聚己二酸乙二醇酯二醇(PEA-2000),MDI,31.2,142150,2.5,,溶剂型,量产,2018
HD-W102,湿法服装革用柔软树脂,湿法,服装革,聚己二酸乙二醇酯二醇(PEA-2000),MDI,33.7,132353,3.0,,溶剂型,量产,2019
HD-W103,湿法鞋面革用中硬树脂,湿法,鞋面革,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",MDI,32.9,125958,5.0,,溶剂型,量产,2019
HD-W104,湿法鞋面革用高物性树脂,湿法,鞋面革,聚己内酯二醇(PCL-2000),MDI,34.1,122902,6.0,,溶剂型,量产,2020
HD-W105,湿法箱包革用中硬树脂,湿法,箱包革,聚己二酸乙二醇酯二醇(PEA-2000),MDI,34.3,110491,6.5,,溶剂型,量产,2020
HD-W106,湿法沙发革用中软树脂,湿法,沙发革,聚丙二醇(PPG-2000),MDI,30.2,116498,4.0,,溶剂型,量产,2021
HD-W107,湿法高耐水解鞋革树脂,湿法,鞋面革,聚碳酸酯二醇(PCDL-2000),MDI,32.5,131174,5.5,,溶剂型,量产,2022
HD-W108,湿法汽车革用耐水解树脂,湿法,汽车内饰革,聚碳酸酯二醇(PCDL-2000),MDI,34.3,135215,5.0,,溶剂型,中试,2024
HD-W109,湿法低DMF服装革树脂,湿法,服装革,聚四氢呋喃醚二醇(PTMEG-2000),MDI,34.6,130441,3.5,,溶剂型,中试,2024
HD-W110,湿法高剥离运动鞋革树脂,湿法,运动鞋面革,聚己内酯二醇(PCL-2000),MDI,33.8,132709,5.5,,溶剂型,小试,2025
HD-W111,湿法球革用高回弹树脂,湿法,球革,聚四氢呋喃醚二醇(PTMEG-2000),MDI,33.5,134670,4.5,,溶剂型,小试,2025
HD-W112,湿法生物基服装革树脂,湿法,服装革,聚己二酸乙二醇酯二醇(PEA-2000),MDI,34.5,109082,3.0,,溶剂型,小试,2026
HD-G201,干法面层用高透明树脂,干法,鞋面革,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",MDI,32.5,63484,8.0,,溶剂型,量产,2018
HD-G202,干法面层用耐折树脂,干法,服装革,聚己内酯二醇(PCL-2000),MDI,31.4,79831,6.0,,溶剂型,量产,2019
HD-G203,干法粘接层树脂,干法,箱包革,聚己二酸乙二醇酯二醇(PEA-2000),MDI,32.1,91544,4.0,,溶剂型,量产,2019
HD-G204,干法服装革用柔软面层树脂,干法,服装革,聚四氢呋喃醚二醇(PTMEG-2000),MDI,32.6,68616,3.5,,溶剂型,量产,2020
HD-G205,干法耐黄变面层树脂,干法,鞋面革,聚碳酸酯二醇(PCDL-2000),IPDI,39.4,92525,6.0,,溶剂型,量产,2021
HD-G206,干法鞋面革用高耐磨树脂,干法,鞋面革,聚己内酯二醇(PCL-2000),MDI,32.2,103974,9.0,,溶剂型,量产,2022
HD-G207,干法汽车革用耐水解面层树脂,干法,汽车内饰革,聚碳酸酯二醇(PCDL-2000),H12MDI,36.1,99878,7.0,,溶剂型,中试,2024
HD-G208,干法电子包装革用树脂,干法,电子包装革,聚丙二醇(PPG-2000),MDI,37.8,94246,7.0,,溶剂型,量产,2023
HD-G209,干法高透湿服装革树脂,干法,服装革,聚四氢呋喃醚二醇(PTMEG-2000),MDI,35.8,86242,3.0,,溶剂型,小试,2025
HD-G210,干法肤感面层树脂,干法,箱包革,聚碳酸酯二醇(PCDL-2000),IPDI,38.7,78036,4.5,,溶剂型,小试,2025
HD-S301,水性服装革面层树脂,水性,服装革,聚碳酸酯二醇(PCDL-2000),IPDI,31.9,158,4.0,,水性(低VOC),量产,2021
HD-S302,水性服装革粘接层树脂,水性,服装革,聚己二酸乙二醇酯二醇(PEA-2000),IPDI,37.4,266,3.0,,水性(低VOC),量产,2022
HD-S303,水性汽车革用耐水解树脂,水性,汽车内饰革,聚碳酸酯二醇(PCDL-2000),H12MDI,34.6,320,6.0,,水性(低VOC),中试,2024
HD-S304,水性沙发革用树脂,水性,沙发革,聚丙二醇(PPG-2000),IPDI,38.5,53,4.5,,水性(低VOC),量产,2023
HD-S305,水性鞋面革用高固含树脂,水性,鞋面革,聚己内酯二醇(PCL-2000),IPDI,31.6,55,6.5,,水性(低VOC),小试,2025
HD-S306,水性肤感树脂,水性,箱包革,聚碳酸酯二醇(PCDL-2000),IPDI,39.9,77,3.0,,水性(低VOC),小试,2026
HD-S307,水性印花层树脂,水性,服装革,聚己二酸乙二醇酯二醇(PEA-2000),IPDI,33.5,330,5.0,,水性(低VOC),小试,2025
HD-S308,水性高透湿服装革树脂,水性,服装革,聚四氢呋喃醚二醇(PTMEG-2000),IPDI,38.8,303,2.5,,水性(低VOC),小试,2026
HD-N401,无溶剂箱包革贴合树脂(双组分),无溶剂,箱包革,聚己二酸乙二醇酯二醇(PEA-2000),MDI,100.0,2199,6.0,,无溶剂(零VOC),量产,2022
HD-N402,无溶剂鞋面革贴合树脂,无溶剂,鞋面革,聚己内酯二醇(PCL-2000),MDI,100.0,5232,7.0,,无溶剂(零VOC),中试,2024
HD-N403,无溶剂汽车革贴合树脂,无溶剂,汽车内饰革,聚碳酸酯二醇(PCDL-2000),MDI,100.0,5667,5.0,,无溶剂(零VOC),小试,2025
HD-N404,无溶剂快速固化贴合树脂,无溶剂,鞋面革,聚丙二醇(PPG-2000),MDI,100.0,4746,6.5,,无溶剂(零VOC),小试,2026
HD-T501,TPU 80A 注塑级,TPU,鞋底,聚四氢呋喃醚二醇(PTMEG-2000),MDI,100.0,,,80A,无溶剂(固体),量产,2019
HD-T502,TPU 85A 挤出级,TPU,薄膜,聚己内酯二醇(PCL-2000),MDI,100.0,,,85A,无溶剂(固体),量产,2020
HD-T503,TPU 90A 耐磨级,TPU,鞋底,聚己内酯二醇(PCL-2000),MDI,100.0,,,90A,无溶剂(固体),量产,2021
HD-T504,TPU 95A 高硬级,TPU,密封件,聚己二酸乙二醇酯二醇(PEA-2000),MDI,100.0,,,95A,无溶剂(固体),量产,2022
HD-T505,TPU 60D 高硬级,TPU,管材,聚己内酯二醇(PCL-2000),MDI,100.0,,,60D,无溶剂(固体),中试,2024
HD-T506,耐黄变TPU 85A,TPU,薄膜,聚碳酸酯二醇(PCDL-2000),H12MDI,100.0,,,85A,无溶剂(固体),小试,2025
