实验编号,实验日期,实验员,关联项目,目标产品,实验类型,多元醇类型,多元醇用量(份),异氰酸酯类型,NCO/OH摩尔比R,扩链剂类型,扩链剂用量(份),催化剂种类,催化剂用量(%),抗水解剂用量(%),亲水扩链剂DMPA用量(%),溶剂体系,目标固含量(%),预聚温度(℃),预聚时间(h),扩链温度(℃),搅拌转速(rpm),实测NCO%,实测固含量(%),实测粘度(mPa·s),外观,结论,是否达标,备注
EXP-2025-0001,2025-04-21,郑凯,—,HD-W101,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.027,EG,3.0,TEDA(三乙烯二胺),0.012,1.5,,DMF,31.2,75,3.3,68,80,2.4,30.7,148787,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0002,2025-04-17,王芳,—,HD-W101,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.027,EG,2.5,SnOct(辛酸亚锡),0.029,0.5,,DMF,31.2,85,3.3,59,60,2.39,31.2,131651,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0003,2026-03-21,何斌,—,HD-W101,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.044,EG,5.2,TEDA(三乙烯二胺),0.019,1.5,,DMF,31.2,85,2.5,56,80,3.03,30.8,144590,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0004,2025-05-29,孙丽,—,HD-W101,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.031,BDO,2.9,SnOct(辛酸亚锡),0.049,1.5,,DMF,31.2,75,1.6,64,120,2.56,31.8,141414,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0005,2025-02-21,孙丽,—,HD-W101,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.021,EG,1.9,DBTDL(二月桂酸二丁基锡),0.038,1.5,,DMF,31.2,75,3.0,73,60,2.18,30.8,148986,微浊,配方满足目标窗口，建议放大,达标,
EXP-2024-0006,2024-09-28,孙丽,—,HD-W101,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.043,BDO,4.5,TEDA(三乙烯二胺),0.048,1.0,,DMF,31.2,80,3.3,63,100,2.96,32.6,142744,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0007,2025-07-15,孙丽,—,HD-W101,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.012,HDO,1.1,DBTDL(二月桂酸二丁基锡),0.015,1.5,,DMF,31.2,73,2.6,61,60,1.87,30.8,130311,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0008,2026-03-03,周涛,—,HD-W101,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.025,HDO,2.8,SnOct(辛酸亚锡),0.045,0,,DMF,31.2,81,3.1,61,120,2.32,31.8,157101,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0009,2025-09-17,周涛,—,HD-W101,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.01,EG,1.0,DBTDL(二月桂酸二丁基锡),0.048,0,,DMF,31.2,75,2.7,68,60,1.8,29.8,126954,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0010,2025-01-29,周涛,—,HD-W101,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.038,HDO,3.4,SnOct(辛酸亚锡),0.012,0,,DMF,31.2,76,3.3,70,60,2.71,30.7,145250,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0011,2025-02-13,孙丽,—,HD-W101,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.01,BDO,0.8,TEDA(三乙烯二胺),0.017,0.5,,DMF,31.2,84,3.3,75,100,1.8,31.5,144207,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0012,2026-06-20,孙丽,—,HD-W101,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.037,HDO,3.5,TEDA(三乙烯二胺),0.06,0.5,,DMF,31.2,82,3.1,75,100,2.66,32.2,129276,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0013,2026-05-03,朱军,RD-2025-005,HD-W102,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.032,EG,3.4,DBTDL(二月桂酸二丁基锡),0.032,0.5,,DMF,33.7,76,2.1,55,120,2.66,33.0,146479,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0014,2025-08-24,郭燕,RD-2025-005,HD-W102,放大确认,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.041,HDO,3.7,SnOct(辛酸亚锡),0.017,0,,DMF,33.7,82,2.8,72,60,2.82,34.3,127087,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0015,2026-01-20,何斌,RD-2025-005,HD-W102,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.01,HDO,1.1,SnOct(辛酸亚锡),0.063,0,,DMF,33.7,76,2.3,71,100,1.8,33.2,136951,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0016,2025-06-01,孙丽,RD-2025-005,HD-W102,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.044,BDO,5.0,DBTDL(二月桂酸二丁基锡),0.068,0,,DMF,33.7,74,3.2,57,60,3.05,34.0,142755,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0017,2025-09-07,李强,RD-2025-005,HD-W102,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.031,EG,3.5,TEDA(三乙烯二胺),0.07,1.5,,DMF,33.7,83,2.0,66,60,2.59,32.3,123463,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0018,2024-11-05,林霞,RD-2025-005,HD-W102,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.045,HDO,4.1,DBTDL(二月桂酸二丁基锡),0.011,0,,DMF,33.7,84,2.7,70,100,2.93,34.0,106990,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0019,2025-03-27,吴静,RD-2025-005,HD-W102,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.019,HDO,2.2,DBTDL(二月桂酸二丁基锡),0.079,0,,DMF,33.7,80,3.4,73,80,2.09,33.2,131071,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2024-0020,2024-11-02,朱军,RD-2025-005,HD-W102,对比验证,聚丙二醇(PPG-2000),100,MDI,1.051,HDO,6.1,SnOct(辛酸亚锡),0.042,1.0,,DMF,33.7,83,3.3,56,120,3.18,33.7,135485,微浊,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0021,2026-06-09,林霞,RD-2025-005,HD-W102,放大确认,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.037,BDO,3.3,DBTDL(二月桂酸二丁基锡),0.072,1.5,,DMF,33.7,84,2.2,75,80,2.76,34.1,132058,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0022,2026-04-08,李强,RD-2025-005,HD-W102,工艺优化,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.03,BDO,2.5,SnOct(辛酸亚锡),,1.0,,DMF,33.7,83,2.1,62,60,2.46,33.4,128086,微黄透明,配方满足目标窗口，建议放大,达标,记录缺失(原始纸质记录污损)
EXP-2026-0023,2026-04-02,周涛,RD-2025-005,HD-W102,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.033,BDO,3.8,TEDA(三乙烯二胺),0.012,0.5,,DMF,33.7,73,3.0,74,60,2.64,33.6,135574,微黄透明,配方满足目标窗口，建议放大,达标,
