批次号,生产日期,产品编号,生产线(反应釜),投料量(kg),预聚温度实测(℃),预聚时间(h),最高温度(℃),搅拌转速(rpm),真空度(MPa),中控NCO%,成品粘度(mPa·s),成品固含量(%),外观,收率(%),操作员,判定,备注
HD-W101-2504-01,2025-04-25,HD-W101,R101,4603,81.9,2.5,89.7,80,-0.095,5.42,129448,30.7,无色透明,98.4,王芳,合格,
HD-G201-2602-08,2026-02-12,HD-G201,R103,3542,83.4,2.1,91.8,80,-0.093,2.8,64139,32.5,微黄透明,98.8,郭燕,合格,
HD-S304-2510-06,2025-10-09,HD-S304,R108,2115,83.2,2.7,85.7,60,-0.093,2.76,48,38.1,微黄透明,98.2,郭燕,合格,
HD-N401-2511-08,2025-11-11,HD-N401,R102,2460,75.5,2.4,81.6,80,-0.093,5.06,2162,100.5,无色透明,99.3,朱军,合格,
HD-W103-2511-01,2025-11-25,HD-W103,R101,3085,79.6,2.7,81.7,60,-0.092,3.29,119869,32.8,微黄透明,98.1,陈立,合格,
HD-N401-2409-09,2024-09-18,HD-N401,R102,2406,79.3,3.0,88.8,80,-0.094,2.92,2377,100.0,微黄透明,98.9,赵敏,合格,
HD-G201-2504-06,2025-04-06,HD-G201,R102,3753,80.3,2.1,86.6,80,-0.097,5.67,66764,32.2,无色透明,99.7,林霞,合格,
HD-W102-2506-07,2025-06-24,HD-W102,R103,4071,79.9,2.9,89.1,60,-0.09,5.6,133969,33.9,微黄透明,99.0,李强,合格,
HD-W103-2604-06,2026-04-25,HD-W103,R105,3419,83.8,2.7,88.4,60,-0.093,5.29,135545,32.4,微黄透明,99.2,李强,合格,
HD-W107-2604-10,2026-04-04,HD-W107,R103,4482,75.7,2.1,81.8,60,-0.093,5.06,144046,31.9,无色透明,98.1,陈立,合格,
HD-G204-2511-02,2025-11-22,HD-G204,R103,3310,78.2,2.0,86.1,80,-0.095,2.07,73420,32.7,微黄透明,99.5,周涛,合格,
HD-W106-2604-05,2026-04-29,HD-W106,R108,3531,74.8,2.0,77.9,100,-0.095,5.81,114231,29.7,微黄透明,98.4,周涛,合格,
HD-G208-2501-08,2025-01-03,HD-G208,R103,3672,76.7,2.4,82.0,100,-0.094,3.63,98586,37.2,无色透明,98.1,朱军,合格,
HD-G205-2502-02,2025-02-26,HD-G205,R103,4068,74.7,2.2,81.4,60,-0.094,5.52,97971,40.5,微黄透明,97.7,王芳,让步接收,轻微偏离，技术评审后放行
