月份,原材料名称,类别,含税价(元/吨),环比%
2024-09,纯MDI,异氰酸酯,19540,
2024-10,纯MDI,异氰酸酯,20440,4.6
2024-11,纯MDI,异氰酸酯,21380,4.6
2024-12,纯MDI,异氰酸酯,22270,4.1
2025-01,纯MDI,异氰酸酯,22990,3.2
2025-02,纯MDI,异氰酸酯,22970,-0.1
2025-03,纯MDI,异氰酸酯,22500,-2.1
2025-04,纯MDI,异氰酸酯,23020,2.3
2025-05,纯MDI,异氰酸酯,21590,-6.2
2025-06,纯MDI,异氰酸酯,20120,-6.8
2025-07,纯MDI,异氰酸酯,20060,-0.3
2025-08,纯MDI,异氰酸酯,20010,-0.3
2025-09,纯MDI,异氰酸酯,20520,2.6
2025-10,纯MDI,异氰酸酯,21310,3.8
2025-11,纯MDI,异氰酸酯,21150,-0.7
2025-12,纯MDI,异氰酸酯,22730,7.5
2026-01,纯MDI,异氰酸酯,22230,-2.2
2026-02,纯MDI,异氰酸酯,23150,4.1
2026-03,纯MDI,异氰酸酯,21720,-6.2
2026-04,纯MDI,异氰酸酯,22480,3.5
2026-05,纯MDI,异氰酸酯,22700,1.0
2026-06,纯MDI,异氰酸酯,22880,0.8
2026-07,纯MDI,异氰酸酯,22850,-0.2
2026-08,纯MDI,异氰酸酯,22140,-3.1
2024-09,TDI-80,异氰酸酯,16480,
2024-10,TDI-80,异氰酸酯,16100,-2.3
2024-11,TDI-80,异氰酸酯,16860,4.7
2024-12,TDI-80,异氰酸酯,19250,14.2
2025-01,TDI-80,异氰酸酯,19030,-1.2
2025-02,TDI-80,异氰酸酯,20050,5.4
2025-03,TDI-80,异氰酸酯,20290,1.2
2025-04,TDI-80,异氰酸酯,20890,3.0
2025-05,TDI-80,异氰酸酯,20330,-2.7
2025-06,TDI-80,异氰酸酯,20820,2.4
2025-07,TDI-80,异氰酸酯,20360,-2.2
2025-08,TDI-80,异氰酸酯,21420,5.2
2025-09,TDI-80,异氰酸酯,21150,-1.3
2025-10,TDI-80,异氰酸酯,20700,-2.1
2025-11,TDI-80,异氰酸酯,20840,0.7
2025-12,TDI-80,异氰酸酯,21020,0.9
2026-01,TDI-80,异氰酸酯,22450,6.8
2026-02,TDI-80,异氰酸酯,24220,7.9
2026-03,TDI-80,异氰酸酯,24200,-0.1
2026-04,TDI-80,异氰酸酯,24710,2.1
2026-05,TDI-80,异氰酸酯,25300,2.4
2026-06,TDI-80,异氰酸酯,25470,0.7
2026-07,TDI-80,异氰酸酯,26660,4.7
2026-08,TDI-80,异氰酸酯,26620,-0.1
2024-09,IPDI,异氰酸酯,51800,
2024-10,IPDI,异氰酸酯,52850,2.0
2024-11,IPDI,异氰酸酯,50590,-4.3
2024-12,IPDI,异氰酸酯,51270,1.3
2025-01,IPDI,异氰酸酯,50030,-2.4
2025-02,IPDI,异氰酸酯,48940,-2.2
2025-03,IPDI,异氰酸酯,46610,-4.7
2025-04,IPDI,异氰酸酯,45930,-1.5
2025-05,IPDI,异氰酸酯,46690,1.6
2025-06,IPDI,异氰酸酯,45520,-2.5
2025-07,IPDI,异氰酸酯,45240,-0.6
2025-08,IPDI,异氰酸酯,43290,-4.3
2025-09,IPDI,异氰酸酯,43570,0.6
2025-10,IPDI,异氰酸酯,41550,-4.6
2025-11,IPDI,异氰酸酯,40400,-2.8
2025-12,IPDI,异氰酸酯,41080,1.7
2026-01,IPDI,异氰酸酯,41620,1.3
2026-02,IPDI,异氰酸酯,42200,1.4
2026-03,IPDI,异氰酸酯,44380,5.2
2026-04,IPDI,异氰酸酯,47570,7.2
2026-05,IPDI,异氰酸酯,47750,0.4
2026-06,IPDI,异氰酸酯,45930,-3.8
2026-07,IPDI,异氰酸酯,44550,-3.0
2026-08,IPDI,异氰酸酯,45440,2.0
2024-09,HDI,异氰酸酯,45310,
2024-10,HDI,异氰酸酯,44010,-2.9
2024-11,HDI,异氰酸酯,44400,0.9
2024-12,HDI,异氰酸酯,43890,-1.1
2025-01,HDI,异氰酸酯,44070,0.4
2025-02,HDI,异氰酸酯,47830,8.5
2025-03,HDI,异氰酸酯,50020,4.6
2025-04,HDI,异氰酸酯,51350,2.7
2025-05,HDI,异氰酸酯,53140,3.5
2025-06,HDI,异氰酸酯,51900,-2.3
2025-07,HDI,异氰酸酯,54020,4.1
2025-08,HDI,异氰酸酯,52000,-3.7
2025-09,HDI,异氰酸酯,51980,-0.0
2025-10,HDI,异氰酸酯,50120,-3.6
2025-11,HDI,异氰酸酯,49140,-2.0
2025-12,HDI,异氰酸酯,51750,5.3
2026-01,HDI,异氰酸酯,49930,-3.5
2026-02,HDI,异氰酸酯,49530,-0.8
2026-03,HDI,异氰酸酯,49900,0.7
2026-04,HDI,异氰酸酯,49230,-1.3
2026-05,HDI,异氰酸酯,48640,-1.2
2026-06,HDI,异氰酸酯,46580,-4.2
2026-07,HDI,异氰酸酯,46530,-0.1
2026-08,HDI,异氰酸酯,47280,1.6
