产品编号,核算期间,原料成本(元/kg),溶剂成本(元/kg),助剂成本(元/kg),能源(元/kg),人工(元/kg),制造费用(元/kg),包装(元/kg),合计成本(元/kg),当期售价(元/kg),毛利率%
HD-W101,2024Q4,12.12,0.97,0.75,0.81,0.57,1.36,0.35,16.93,21.31,20.6
HD-W101,2025Q1,13.34,1.04,0.79,0.8,0.62,1.39,0.35,18.33,22.36,18.0
HD-W101,2025Q2,12.88,0.98,0.85,0.77,0.62,1.25,0.35,17.69,22.12,20.0
HD-W101,2025Q3,11.91,0.92,0.81,0.8,0.58,1.32,0.35,16.7,20.55,18.7
HD-W101,2025Q4,12.86,0.99,0.76,0.83,0.57,1.3,0.35,17.66,20.82,15.2
HD-W101,2026Q1,12.7,1.02,0.85,0.84,0.6,1.25,0.35,17.6,22.75,22.6
HD-W101,2026Q2,13.16,1.03,0.76,0.81,0.59,1.34,0.35,18.04,23.15,22.1
HD-W102,2024Q4,12.26,0.97,0.84,0.74,0.6,1.33,0.35,17.09,19.76,13.5
HD-W102,2025Q1,12.72,1.04,0.75,0.79,0.6,1.31,0.35,17.55,20.19,13.1
HD-W102,2025Q2,12.59,0.98,0.83,0.87,0.59,1.29,0.35,17.5,21.84,19.9
HD-W102,2025Q3,11.8,0.92,0.75,0.78,0.6,1.33,0.35,16.53,19.14,13.6
HD-W102,2025Q4,11.9,0.99,0.8,0.84,0.56,1.32,0.35,16.76,18.86,11.1
HD-W102,2026Q1,12.71,1.02,0.77,0.87,0.62,1.34,0.35,17.68,21.21,16.6
HD-W102,2026Q2,12.86,1.03,0.81,0.89,0.6,1.25,0.35,17.78,20.27,12.3
HD-W103,2024Q4,13.13,0.97,0.84,0.92,0.62,1.24,0.35,18.06,21.07,14.3
HD-W103,2025Q1,13.42,1.04,0.77,0.76,0.6,1.35,0.35,18.27,23.94,23.7
HD-W103,2025Q2,12.78,0.98,0.78,0.79,0.58,1.29,0.35,17.55,19.93,11.9
