序号,标准号/文件,名称,类别,适用范围,与本数据集的关联
1,GB/T 8949-2008,聚氨酯干法人造革,国家标准,干法PU革产品要求,干法系列产品的客户协议指标主要来源
2,QB/T 1646-2007,聚氨酯合成革,行业标准,湿法PU合成革,湿法系列产品对标基础
3,GB 21550-2008,聚氯乙烯人造革中有害物质限量,国家标准(强制),有害物质限量,环保指标设计参考
4,GB/T 8808-1988,软质复合塑料材料剥离试验方法,国家标准,剥离强度测试,test_results.csv中剥离强度项目
5,GB/T 528-2009,硫化橡胶或热塑性橡胶 拉伸应力应变性能的测定,国家标准,模量/拉伸/伸长,胶膜力学性能测试依据
6,GB/T 529-2008,硫化橡胶或热塑性橡胶撕裂强度的测定,国家标准,撕裂强度,同上
7,GB/T 531.1-2008,硫化橡胶或热塑性橡胶 压入硬度试验 邵氏硬度计法,国家标准,硬度,TPU硬度测试
8,GB/T 9867-2008,硫化橡胶或热塑性橡胶耐磨性能的测定(旋转辊筒式磨耗机法),国家标准,DIN磨耗,TPU耐磨测试
9,GB/T 3682.1-2018,塑料 热塑性塑料熔体质量流动速率的测定,国家标准,熔融指数,TPU加工性评价
10,GB/T 2793-1995,胶粘剂不挥发物含量的测定,国家标准,固含量,树脂固含量测试
11,GB/T 2794-2013,胶粘剂粘度的测定,国家标准,粘度,树脂粘度测试
12,GB/T 3143-1982,液体化学产品颜色测定法(Hazen单位-铂-钴色号),国家标准,色值,树脂色值控制
13,GB/T 21196.2-2007,纺织品 马丁代尔法织物耐磨性的测定,国家标准,马丁代尔耐磨,成品革耐磨评价
14,GB/T 12704.1-2009,纺织品 织物透湿性试验方法 吸湿法,国家标准,透湿量,服装革透湿评价
15,QB/T 2714-2018,皮革 物理和机械试验 耐折牢度的测定,行业标准,常温/低温耐折,耐折性能评价
16,GB/T 12000-2017,塑料 暴露于湿热、水喷雾和盐雾中影响的测定,国家标准,湿热老化,耐水解试验参考方法
17,GB 33372-2020,胶粘剂挥发性有机化合物限量,国家标准(强制),VOC限量,水性/无溶剂产品环保合规
18,GB/T 14518-1993,胶粘剂的pH值测定,国家标准,pH值,水性树脂中控
19,GB/T 6678-2003,化工产品采样总则,国家标准,采样,原料/成品取样规则
20,GB/T 12008.3-2009,塑料 聚醚多元醇 羟值的测定,国家标准,羟值,多元醇入厂检验与投料折算
21,HJ 2541-2016,环境标志产品技术要求 胶粘剂,环保标准,环境标志,绿色产品认证参考
22,GB/T 18885-2020,生态纺织品技术要求,国家标准,生态要求,服装革生态指标参考
23,ISO 2411:2017,橡胶或塑料涂覆织物 涂层粘附强度的测定,国际标准,剥离,出口客户常用
24,ISO 12947-2:2016,纺织品 马丁代尔耐磨试验,国际标准,耐磨,出口客户常用
25,REACH法规(EC)1907/2006 附录17第76条,"N,N-二甲基甲酰胺(DMFa)限制(≥0.3%不得投放)",法规,DMFa限制,出口欧盟合规红线(2023年12月起实施)
26,ZDHC MRSL V3.1,生产限用物质清单,行业倡议,化学品限用,品牌客户普遍要求，DMFa/VOC限值需以最新版为准
